home_team,home_score,away_team,away_score
BroCats,12,Spoiler,9
Layons,9,Spoiler,10
BroCats,13,Impulse,4
Layons,2,BroCats,13
Impulse,10,Spoiler,13
Midnight Meat Train,13,Grimace,7
Chicago YCC U-19,13,SEMI (YCC-MI),9
Midnight Meat Train,13,SEMI (YCC-MI),11
Chicago YCC U-19,13,Grimace,8
Midnight Meat Train,13,Chicago YCC U-19,8
Grimace,13,SEMI (YCC-MI),10
Bear Jordan,13,Mesozoic Minnow,4
Hippie Mafia,13,Kettnetic Thunder,1
Bear Jordan,13,Kettnetic Thunder,5
Hippie Mafia,7,Mesozoic Minnow,13
Bear Jordan,13,Hippie Mafia,7
Mesozoic Minnow,13,Kettnetic Thunder,3
Brickyard,6,BroCats,13
MKE,7,Smokestack,13
Beachfront Property,13,Layons,5
City Park Ultimate,13,Flying Pig,6
CAKti,12,Jurassic Shark,13
Spoiler,8,Enigma,13
Super Phun Tyme,13,Midnight Meat Train,15
Hustle,11,Bear Jordan,8
Black Market,15,Chicago YCC U-19,4
Impulse,13,Mesozoic Minnow,3
Grimace,13,Kettnetic Thunder,2
Hippie Mafia,13,SEMI (YCC-MI),11
BroCats,12,Smokestack,10
BroCats,13,MKE,8
Brickyard,8,Smokestack,13
BroCats,13,City Park Ultimate,10
MKE,15,Enigma,14
Brickyard,13,Jurassic Shark,4
Smokestack,13,Beachfront Property,8
MKE,7,Brickyard,13
City Park Ultimate,7,Beachfront Property,13
City Park Ultimate,13,Enigma,5
Jurassic Shark,6,Beachfront Property,13
Enigma,9,Jurassic Shark,13
Black Market,13,Midnight Meat Train,7
Black Market,13,Impulse,7
Midnight Meat Train,13,Spoiler,10
Layons,6,Black Market,13
Flying Pig,2,Impulse,7
CAKti,11,Midnight Meat Train,13
Spoiler,13,Hustle,7
Impulse,11,Spoiler,7
Layons,W,Hustle,L
Layons,W,Flying Pig,F
CAKti,12,Hustle,13
Flying Pig,F,CAKti,W
Super Phun Tyme,7,Chicago YCC U-19,13
Super Phun Tyme,13,Grimace,7
Chicago YCC U-19,13,Mesozoic Minnow,7
Super Phun Tyme,13,Hippie Mafia,7
Bear Jordan,10,Grimace,13
Chicago YCC U-19,13,SEMI (YCC-MI),4
Mesozoic Minnow,13,Kettnetic Thunder,3
Grimace,11,Mesozoic Minnow,13
Bear Jordan,W,SEMI (YCC-MI),F
Hippie Mafia,10,Bear Jordan,12
SEMI (YCC-MI),13,Kettnetic Thunder,3
Hippie Mafia,0,Kettnetic Thunder,0
Southern Hospitality,13,Humidity,4
Pilot,13,Jello Yackets,8
Southern Hospitality,13,Pilot,4
Shrimp Boat,13,Jello Yackets,4
Jello Yackets,13,Humidity,9
Shrimp Boat,12,Pilot,7
Southern Hospitality,13,Jello Yackets,2
Shrimp Boat,13,Humidity,3
Southern Hospitality,13,Shrimp Boat,10
Pilot,13,Humidity,3
Bullet,13,Strong Hand,8
Ironmen,13,Shotgun,7
Bullet,13,Shotgun,3
Ironmen,12,Strong Hand,8
Bullet,5,Ironmen,13
Strong Hand,12,Shotgun,4
Six Pack,12,Voodoo,13
ShawShack Redemption,9,Queen City Thunder,13
Six Pack,13,Queen City Thunder,5
ShawShack Redemption,8,Voodoo,12
Six Pack,9,ShawShack Redemption,12
Voodoo,6,Queen City Thunder,8
Freaks Uv Nature,13,Blade,6
UpRoar,13,Dune Cats,7
Freaks Uv Nature,13,Dune Cats,3
UpRoar,13,Blade,4
Freaks Uv Nature,13,UpRoar,6
Blade,10,Dune Cats,13
Ironmen,11,Voodoo,9
Queen City Thunder,6,UpRoar,13
Freaks Uv Nature,13,Bullet,8
Strong Hand,7,Six Pack,13
ShawShack Redemption,13,Blade,12
Dune Cats,12,Shotgun,13
Southern Hospitality,13,Bullet,9
Southern Hospitality,9,Freaks Uv Nature,7
Ironmen,7,Bullet,12
Southern Hospitality,13,Queen City Thunder,6
Freaks Uv Nature,11,Voodoo,9
Ironmen,13,Shrimp Boat,8
UpRoar,8,Bullet,10
Freaks Uv Nature,13,Ironmen,7
Voodoo,11,Queen City Thunder,8
UpRoar,6,Voodoo,8
Shrimp Boat,6,Queen City Thunder,8
UpRoar,13,Shrimp Boat,6
Blade,9,Six Pack,13
Blade,9,Strong Hand,8
Six Pack,13,ShawShack Redemption,9
Pilot,7,Blade,13
Shotgun,5,Strong Hand,13
Six Pack,13,Jello Yackets,9
ShawShack Redemption,13,Dune Cats,4
Humidity,10,Dune Cats,13
Strong Hand,10,ShawShack Redemption,11
Shotgun,W,Jello Yackets,F
Pilot,10,Shotgun,11
Jello Yackets,13,Humidity,5
Dune Cats,F,Pilot,W
Southern Hospitality,13,Bruises,8
John Doe,13,VAlhalla,8
Southern Hospitality,13,VAlhalla,4
John Doe,13,Bruises,8
Southern Hospitality,13,John Doe,9
Bruises,12,VAlhalla,9
Philadelphia Club,13,RUNTIME,2
Youngbloods,13,Colorblind,7
Philadelphia Club,13,Colorblind,4
Youngbloods,13,RUNTIME,8
Philadelphia Club,12,Youngbloods,9
RUNTIME,9,Colorblind,12
Medicine Men,10,Supernova,12
Smokestack,8,CityWide Special,13
Smokestack,13,Supernova,10
Medicine Men,11,CityWide Special,13
Medicine Men,7,Smokestack,13
Supernova,8,CityWide Special,10
BroCats,13,Town Hall Stars,12
Cash Crop,13,Swell,4
BroCats,13,Swell,6
Cash Crop,13,Town Hall Stars,8
BroCats,13,Cash Crop,11
Town Hall Stars,13,Swell,4
Southern Hospitality,13,CityWide Special,10
Philadelphia Club,13,BroCats,3
VAlhalla,7,Swell,13
RUNTIME,3,Medicine Men,13
Southern Hospitality,13,Philadelphia Club,10
Southern Hospitality,12,BroCats,9
Philadelphia Club,13,Town Hall Stars,6
Southern Hospitality,13,Youngbloods,7
BroCats,11,Smokestack,9
Philadelphia Club,13,Cash Crop,8
CityWide Special,9,Town Hall Stars,13
