home_team,home_score,away_team,away_score
CaSTLe,15,Strong Hand,7
Space City Ignite,11,Southern Hospitality,14
Queen City Thunder,13,Howlers,14
Prairie Squids,15,Freaky Too,4
Queen City Thunder,15,Freaky Too,13
Prairie Squids,15,Howlers,13
Queen City Thunder,13,Prairie Squids,14
Howlers,15,Freaky Too,9
Smokestack,15,Pocket City Approach,8
Shotgun,15,Riders of Brohan,4
Smokestack,15,Riders of Brohan,2
Shotgun,16,Pocket City Approach,15
Smokestack,15,Shotgun,10
Pocket City Approach,15,Riders of Brohan,1
Crude Ultimate,10,Blade,15
Jurassic,15,Lagniappe,10
Crude Ultimate,15,Lagniappe,6
Jurassic,6,Blade,15
Crude Ultimate,15,Jurassic,6
Blade,15,Lagniappe,10
Prairie Fire,15,Freaks Uv Nature,4
Six Pack,15,Space City Ignite,13
Ironmen,15,Howlers,6
Cash Crop,15,Shotgun,7
CaSTLe,15,Crude Ultimate,10
Kentucky Flying Circus,15,Blade,6
Jockamo,10,Smokestack,13
Strong Hand,15,Prairie Squids,11
Queen City Thunder,15,Riders of Brohan,4
Pocket City Approach,15,Lagniappe,12
Jurassic,15,Freaky Too,13
PLEX,16,Southern Hospitality,14
Prairie Fire,13,PLEX,5
Prairie Fire,13,Cash Crop,4
Six Pack,10,PLEX,12
Prairie Fire,13,Kentucky Flying Circus,1
Southern Hospitality,7,Cash Crop,13
Six Pack,13,Freaks Uv Nature,8
PLEX,13,Ironmen,8
Space City Ignite,10,Kentucky Flying Circus,13
Cash Crop,14,Strong Hand,12
Freaks Uv Nature,13,Smokestack,10
Ironmen,13,CaSTLe,9
Kentucky Flying Circus,6,Southern Hospitality,9
Kentucky Flying Circus,12,Freaks Uv Nature,11
Southern Hospitality,12,Ironmen,11
Space City Ignite,13,Strong Hand,7
Space City Ignite,13,Smokestack,10
Strong Hand,13,CaSTLe,3
Jockamo,13,Crude Ultimate,4
Blade,6,Jockamo,13
Prairie Squids,9,Crude Ultimate,13
Blade,13,Queen City Thunder,11
Jockamo,13,Howlers,6
Prairie Squids,14,Pocket City Approach,12
Crude Ultimate,13,Shotgun,7
Queen City Thunder,13,Lagniappe,4
Howlers,13,Riders of Brohan,4
Pocket City Approach,13,Jurassic,6
Shotgun,13,Freaky Too,11
Howlers,W,Shotgun,F
Queen City Thunder,7,Howlers,13
Pocket City Approach,6,Shotgun,12
Lagniappe,0,Jurassic,0
Lagniappe,13,Freaky Too,8
Jurassic,13,Riders of Brohan,9
Smokestack,F,CaSTLe,W
Queen City Thunder,0,Pocket City Approach,0
Freaky Too,13,Riders of Brohan,6
Pilot,13,Swell,6
Deadrise,11,NC Hammer,6
Medicine Men,13,Swell,1
Pilot,13,Deadrise,4
Swell,13,Deadrise,3
Medicine Men,13,NC Hammer,0
Medicine Men,13,Deadrise,3
Pilot,13,NC Hammer,5
Medicine Men,13,Pilot,4
Swell,13,NC Hammer,3
Richmond Floodwall,15,VAlhalla,3
RUNTIME,15,Carolina Sky,12
Richmond Floodwall,15,Carolina Sky,7
RUNTIME,15,VAlhalla,10
Richmond Floodwall,15,RUNTIME,7
VAlhalla,15,Carolina Sky,9
Triforce,12,YAK (You Already Know),13
Supernova,15,SAVAGEandahalf,13
Triforce,13,SAVAGEandahalf,11
Supernova,12,YAK (You Already Know),13
Triforce,9,Supernova,11
YAK (You Already Know),14,SAVAGEandahalf,8
VAlhalla,9,Triforce,11
Carolina Sky,5,SAVAGEandahalf,13
Deadrise,11,Carolina Sky,13
VAlhalla,10,SAVAGEandahalf,12
Deadrise,5,SAVAGEandahalf,13
VAlhalla,15,NC Hammer,0
VAlhalla,15,Deadrise,5
SAVAGEandahalf,13,NC Hammer,5
Carolina Sky,F,NC Hammer,W
Medicine Men,12,Richmond Floodwall,15
Medicine Men,15,RUNTIME,8
Pilot,10,Richmond Floodwall,15
Medicine Men,15,Triforce,13
Supernova,12,RUNTIME,15
YAK (You Already Know),11,Pilot,15
Richmond Floodwall,15,Swell,4
Triforce,F,YAK (You Already Know),W
Triforce,15,Supernova,13
YAK (You Already Know),14,Swell,9
Pilot,13,RUNTIME,11
Supernova,W,Swell,F
