home_team,home_score,away_team,away_score
Freaks Uv Nature,15,Cash,12
PLEX,15,Cash,13
Freaks Uv Nature,15,Jockamo,13
Jockamo,13,Cash,15
PLEX,15,Freaks,8
Space City Ignite,15,CaSTLe,7
Southern Hospitality,15,Strong,8
Space City Ignite,15,Strong,7
Southern Hospitality,15,CaSTLe,7
CaSTLe,15,Strong,7
Space City Ignite,11,Southern,14
Pilot,13,Swell,6
Deadrise,11,NC,6
Medicine Men,13,Swell,1
Pilot,13,Deadrise,4
Swell,13,Deadrise,3
Medicine Men,13,NC,0
Medicine Men,13,Deadrise,3
Pilot,13,NC,5
Medicine Men,13,Pilot,4
Swell,13,NC,3
Richmond Floodwall,15,VAlhalla,3
RUNTIME,15,Carolina,12
Richmond Floodwall,15,Carolina,7
RUNTIME,15,VAlhalla,10
Richmond Floodwall,15,RUNTIME,7
VAlhalla,15,Carolina,9
Triforce,12,YAK,13
Supernova,15,SAVAGEandahalf,13
Triforce,13,SAVAGEandahalf,11
Supernova,12,YAK,13
Triforce,9,Supernova,11
YAK,14,SAVAGEandahalf,8
Beachfront Property,11,Enigma,9
Brickyard,13,Super,5
Beachfront Property,13,Super,7
Brickyard,13,Enigma,7
Beachfront Property,11,Brickyard,13
Enigma,13,Super,11
City Park Ultimate,13,Jurassic,4
MKE,13,Hustle,6
City Park Ultimate,13,Hustle,5
MKE,13,Jurassic,6
City Park Ultimate,6,MKE,13
Jurassic Shark,13,Hustle,8
Black Market,12,CAKti,13
Smokestack,13,Flying,4
Black Market,10,Flying,13
Smokestack,13,CAKti,5
Black Market,13,Smokestack,12
CAKti,13,Flying,12
Layons,13,Impulse,12
BroCats,12,Spoiler,9
Layons,9,Spoiler,10
BroCats,13,Impulse,4
Layons,2,BroCats,13
Impulse,10,Spoiler,13
Midnight Meat Train,13,Grimace,7
Chicago YCC U-19,13,SEMI,9
Midnight Meat Train,13,SEMI,11
Chicago YCC U-19,13,Grimace,8
Midnight Meat Train,13,Chicago,8
Grimace,13,SEMI,10
Bear Jordan,13,Mesozoic,4
Hippie Mafia,13,Kettnetic,1
Bear Jordan,13,Kettnetic,5
Hippie Mafia,7,Mesozoic,13
Bear Jordan,13,Hippie,7
Mesozoic Minnow,13,Kettnetic,3
Southern Hospitality,13,Humidity,4
Pilot,13,Jello,8
Southern Hospitality,13,Pilot,4
Shrimp Boat,13,Jello,4
Jello Yackets,13,Humidity,9
Shrimp Boat,12,Pilot,7
Southern Hospitality,13,Jello,2
Shrimp Boat,13,Humidity,3
Southern Hospitality,13,Shrimp,10
Pilot,13,Humidity,3
Bullet,13,Strong,8
Ironmen,13,Shotgun,7
Bullet,13,Shotgun,3
Ironmen,12,Strong,8
Bullet,5,Ironmen,13
Strong Hand,12,Shotgun,4
Six Pack,12,Voodoo,13
ShawShack Redemption,9,Queen,13
Six Pack,13,Queen,5
ShawShack Redemption,8,Voodoo,12
Six Pack,9,ShawShack,12
Voodoo,6,Queen,8
Freaks Uv Nature,13,Blade,6
UpRoar,13,Dune,7
Freaks Uv Nature,13,Dune,3
UpRoar,13,Blade,4
Freaks Uv Nature,13,UpRoar,6
Blade,10,Dune,13
Southern Hospitality,13,Bruises,8
John Doe,13,VAlhalla,8
Southern Hospitality,13,VAlhalla,4
John Doe,13,Bruises,8
Southern Hospitality,13,John,9
Bruises,12,VAlhalla,9
Philadelphia Club,13,RUNTIME,2
Youngbloods,13,Colorblind,7
Philadelphia Club,13,Colorblind,4
Youngbloods,13,RUNTIME,8
Philadelphia Club,12,Youngbloods,9
RUNTIME,9,Colorblind,12
Medicine Men,10,Supernova,12
Smokestack,8,CityWide,13
Smokestack,13,Supernova,10
Medicine Men,11,CityWide,13
Medicine Men,7,Smokestack,13
Supernova,8,CityWide,10
BroCats,13,Town,12
Cash Crop,13,Swell,4
BroCats,13,Swell,6
Cash Crop,13,Town,8
BroCats,13,Cash,11
Town Hall Stars,13,Swell,4
Air Show,6,Sundowners,12
Gridlock,8,Honduras,13
Air Show,12,Honduras,8
Gridlock,8,Sundowners,11
Air Show,13,Gridlock,7
Sundowners,10,Honduras,12
Ring of Fire,9,Rhino,14
Boost FC,13,Dire,10
Ring of Fire,13,Boost,7
Rhino,12,Dire,9
Ring of Fire,13,Dire,9
Boost FC,10,Rhino,12
PoNY,13,Madison,11
Madcow,13,Omen,12
PoNY,13,Madcow,9
Madison Club,12,Omen,10
PoNY,13,Omen,6
Madcow,9,Madison,13
Florida United,10,Streetgang,12
Sub Zero,13,Garuda,8
Florida United,13,Sub,10
Streetgang,12,Garuda,7
Florida United,12,Garuda,10
Sub Zero,13,Streetgang,6
Truck Stop,10,Condors,13
HIGH FIVE,13,Inception,9
Truck Stop,14,HIGH,12
Condors,13,Inception,11
Truck Stop,12,Inception,11
HIGH FIVE,11,Condors,12
Temper,17,Breaker's,7
Mistress,14,Los,17
Temper,17,Mistress,2
Breaker's Mark,17,Los,8
Temper,17,Los,5
Mistress,13,Breaker's,17
Kentucky Flying Circus,17,Enigma,6
CaSTLe,15,Pocket,16
Kentucky Flying Circus,17,CaSTLe,11
Enigma,17,Pocket,11
Kentucky Flying Circus,15,Pocket,7
