home_team,home_score,away_team,away_score,tournament
Mental Toss Flycoons,13,South Portland Knife Fight,9,Eugene Summer Solstice
Voodoo,13,Mental Toss Flycoons,5,Eugene Summer Solstice
Ghetto Puss,13,South Portland Knife Fight,3,Eugene Summer Solstice
Warchild,11,Ghost Train,4,Eugene Summer Solstice
Dark Star,10,Rip City Ultimate Club Team,11,Eugene Summer Solstice
PTC,7,Flaming Chicken,11,Eugene Summer Solstice
Warchild,11,Dark Star,9,Eugene Summer Solstice
Ghost Train,11,PTC,6,Eugene Summer Solstice
Rip City Ultimate Club Team,5,Flaming Chicken,11,Eugene Summer Solstice
Warchild,11,PTC,1,Eugene Summer Solstice
Dark Star,8,Flaming Chicken,11,Eugene Summer Solstice
Ghost Train,11,Rip City Ultimate Club Team,7,Eugene Summer Solstice
Warchild,11,Flaming Chicken,8,Eugene Summer Solstice
Dark Star,11,Ghost Train,7,Eugene Summer Solstice
PTC,4,Rip City Ultimate Club Team,11,Eugene Summer Solstice
Warchild,11,Rip City Ultimate Club Team,3,Eugene Summer Solstice
Dark Star,11,PTC,5,Eugene Summer Solstice
Ghost Train,5,Flaming Chicken,11,Eugene Summer Solstice
South Portland Knife Fight,10,PTC,12,Eugene Summer Solstice
Dim Sun,15,Rip City Ultimate Club Team,10,Eugene Summer Solstice
Dark Star,4,Warchild,13,Eugene Summer Solstice
South Portland Knife Fight,9,Rip City Ultimate Club Team,15,Eugene Summer Solstice
Warchild,5,PTC,2,Eugene Summer Solstice
Ghost Train,8,Dim Sun,15,Eugene Summer Solstice
undefined,0,undefined,0,Eugene Summer Solstice
undefined,0,undefined,0,Eugene Summer Solstice
undefined,0,undefined,0,Eugene Summer Solstice
Ghetto Puss,14,Voodoo,15,Eugene Summer Solstice
Ghetto Puss,15,Flaming Chicken,9,Eugene Summer Solstice
Voodoo,11,Mental Toss Flycoons,10,Eugene Summer Solstice
Ghetto Puss,15,Ghost Train,9,Eugene Summer Solstice
Dim Sun,11,Flaming Chicken,13,Eugene Summer Solstice
Voodoo,13,Dark Star,7,Eugene Summer Solstice
Mental Toss Flycoons,12,Warchild,11,Eugene Summer Solstice
Flaming Chicken,F,Mental Toss Flycoons,W,Eugene Summer Solstice
Beachfront Property,11,Enigma,9,Motown Throwdown
Brickyard,13,Super Phun Tyme,5,Motown Throwdown
Beachfront Property,13,Super Phun Tyme,7,Motown Throwdown
Brickyard,13,Enigma,7,Motown Throwdown
Beachfront Property,11,Brickyard,13,Motown Throwdown
Enigma,13,Super Phun Tyme,11,Motown Throwdown
City Park Ultimate,13,Jurassic Shark,4,Motown Throwdown
MKE,13,Hustle,6,Motown Throwdown
City Park Ultimate,13,Hustle,5,Motown Throwdown
MKE,13,Jurassic Shark,6,Motown Throwdown
City Park Ultimate,6,MKE,13,Motown Throwdown
Jurassic Shark,13,Hustle,8,Motown Throwdown
Black Market,12,CAKti,13,Motown Throwdown
Smokestack,13,Flying Pig,4,Motown Throwdown
Black Market,10,Flying Pig,13,Motown Throwdown
Smokestack,13,CAKti,5,Motown Throwdown
Black Market,13,Smokestack,12,Motown Throwdown
CAKti,13,Flying Pig,12,Motown Throwdown
Layons,13,Impulse,12,Motown Throwdown
BroCats,12,Spoiler,9,Motown Throwdown
Layons,9,Spoiler,10,Motown Throwdown
BroCats,13,Impulse,4,Motown Throwdown
Layons,2,BroCats,13,Motown Throwdown
Impulse,10,Spoiler,13,Motown Throwdown
Midnight Meat Train,13,Grimace,7,Motown Throwdown
Chicago YCC U-19,13,SEMI (YCC-MI),9,Motown Throwdown
Midnight Meat Train,13,SEMI (YCC-MI),11,Motown Throwdown
Chicago YCC U-19,13,Grimace,8,Motown Throwdown
Midnight Meat Train,13,Chicago YCC U-19,8,Motown Throwdown
Grimace,13,SEMI (YCC-MI),10,Motown Throwdown
Bear Jordan,13,Mesozoic Minnow,4,Motown Throwdown
Hippie Mafia,13,Kettnetic Thunder,1,Motown Throwdown
Bear Jordan,13,Kettnetic Thunder,5,Motown Throwdown
Hippie Mafia,7,Mesozoic Minnow,13,Motown Throwdown
Bear Jordan,13,Hippie Mafia,7,Motown Throwdown
Mesozoic Minnow,13,Kettnetic Thunder,3,Motown Throwdown
